name,url,md5sum
run_048,https://cernbox.cern.ch/remote.php/dav/public-files/7UxMzoK81X6MA2p/run_048.tar,ff89ceb4063b5accc791e4ab48a0c217
run_049,https://cernbox.cern.ch/remote.php/dav/public-files/RZV9DNzGKdUefjR/run_049.tar,97ed882901503abfe501ca1723ae45bd
run_050,https://cernbox.cern.ch/remote.php/dav/public-files/sDReXIXEWGld1e8/run_050.tar,eced594c879e07990ddc4c005ec1f159
run_051,https://cernbox.cern.ch/remote.php/dav/public-files/KpOSHyTz132EqyE/run_051.tar,75f7d76965a89ad9107668b240ad03c8
run_052,https://cernbox.cern.ch/remote.php/dav/public-files/0KMDgqB22DbAjFa/run_052.tar,2e6d0b801730a990a91ad48401a5bd80
run_053,https://cernbox.cern.ch/remote.php/dav/public-files/64YKJvSkKzpHj0q/run_053.tar,245df092eedcde8ab24b83f2da9b0878
run_054,https://cernbox.cern.ch/remote.php/dav/public-files/EefdzqU5bFryNKs/run_054.tar,4dd23f0a7804981750ec48f00abeb160
run_055,https://cernbox.cern.ch/remote.php/dav/public-files/sOFx1g7Sgwy2QcE/run_055.tar,15f224dd5c56f51e11768aef51a94562
run_056,https://cernbox.cern.ch/remote.php/dav/public-files/5yspnShtjXv2H5L/run_056.tar,11921fa454fe16bb168ebed413aa53e0
run_057,https://cernbox.cern.ch/remote.php/dav/public-files/aW4RE7zskJWVDtW/run_057.tar,d2483995ef0773d742ad2d72a1ca8cd2
run_058,https://cernbox.cern.ch/remote.php/dav/public-files/AyBe4fRe583F1jZ/run_058.tar,9df95bd7fed28d0665d12ea811457575
